,questao,enunciado,a,b,c,d,e,correta,explicacao,tema
69,70,"Você precisa garantir que quando os usuários do Azure Active Directory (Azure AD) se conectam ao Azure AD a partir da Internet usando um endereço IP anônimo, os usuários sejam solicitados automaticamente a alterar suas senhas. Qual serviço Azure deve usar?",Azure AD Connect Health,Azure AD Privileged Identity Management,Azure Advanced Threat Protection (ATP),Azure AD Identity Protection,,D,"O Azure AD Identity Protection inclui duas políticas de risco: política de risco de login e política de risco do usuário. Um risco de login representa a probabilidade de que uma determinada solicitação de autenticação não seja autorizada pelo proprietário da identidade. Existem vários tipos de detecção de risco. Um deles é o Endereço IP Anônimo. Esse tipo de detecção de risco indica logins de um endereço IP anônimo (por exemplo, navegador Tor ou VPN anônimo). Esses endereços IP são normalmente usados por atores que querem ocultar sua telemetria de login (endereço IP, localização, dispositivo, etc.) para intenção potencialmente maliciosa. Você pode configurar a política de risco de login para exigir que os usuários alterem sua senha.","Segurança, privacidade e conformidade"
70,71,Sua empresa planeja implantar vários servidores web e vários servidores de banco de dados para o Azure. Você precisa recomendar uma solução Azure para limitar os tipos de conexões dos servidores web aos servidores de banco de dados. O que você deve incluir na recomendação?,grupos de segurança de rede (NSGs),Azure Service Bus,um gateway de rede local,um filtro de rota,,A,Um grupo de segurança de rede funciona como um firewall. Você pode anexar um grupo de segurança de rede a uma rede virtual e/ou sub-redes individuais dentro da rede virtual. Você também pode anexar um grupo de segurança de rede a uma interface de rede atribuída a uma máquina virtual. Você pode usar vários grupos de segurança de rede dentro de uma rede virtual para restringir o tráfego entre recursos como máquinas virtuais e sub-redes. Você pode filtrar o tráfego de rede de e para os recursos do Azure em uma rede virtual do Azure com um grupo de segurança de rede. Um grupo de segurança de rede contém regras de segurança que permitem ou negam tráfego de rede de entrada ou tráfego de rede de saída de vários tipos de recursos,"Segurança, privacidade e conformidade"
71,72,A que um aplicativo deve se conectar para recuperar tokens de segurança?,uma conta de armazenamento Azure,Azure Active Directory (Azure AD),Armazenamento de certificados,um cofre de chave do Azure,,B,"O Azure AD autentica os usuários e fornece tokens de acesso. Um token de acesso é um token de segurança emitido por um servidor de autorização. Ele contém informações sobre o usuário e o aplicativo para o qual o token é destinado, que pode ser usado para acessar APIs da Web e outros recursos protegidos. Em vez de criar aplicativos que mantêm suas próprias informações de nome de usuário e senha, que incorre em uma alta carga administrativa quando você precisa adicionar ou remover usuários em vários aplicativos, os aplicativos podem delegar essa responsabilidade a um provedor de identidade centralizado. O Azure Active Directory (Azure AD) é um provedor de identidade centralizado na nuvem. A autenticação e a autorização dele permitem que cenários como políticas de Acesso Condicional exijam que um usuário esteja em um local específico, o uso de autenticação multifatorial, além de permitir que um usuário faça login uma vez e, em seguida, seja automaticamente conectado a todos os aplicativos web que compartilham o mesmo diretório centralizado. Esse recurso é referido como Single Sign On (SSO).","Segurança, privacidade e conformidade"
72,73,"Os grupos de recursos fornecem às organizações a capacidade de gerenciar a conformidade dos recursos do Azure em várias assinaturas. Instruções: Reveja o texto sublinhado. Se ele fizer a declaração correta, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária,Grupos de gestão,Políticas do Azure,Planos do Azure App Service,,C,"As políticas do Azure podem ser usadas para definir requisitos para propriedades de recursos durante a implantação e para recursos já existentes. A Política Azure controla propriedades como os tipos ou locais de recursos. A Política Azure é um serviço no Azure que você usa para criar, atribuir e gerenciar políticas. Essas políticas impõem regras e efeitos diferentes sobre seus recursos, para que esses recursos permaneçam em conformidade com seus padrões corporativos e contratos de nível de serviço. A Política Azure atende a essa necessidade avaliando seus recursos para o descumprimento das políticas atribuídas. Todos os dados armazenados pela Política Azure são criptografados em repouso. Por exemplo, você pode ter uma política para permitir apenas um certo tamanho SKU de máquinas virtuais em seu ambiente. Uma vez implementada essa política, novos recursos existentes são avaliados para conformidade. Com o tipo certo de política, os recursos existentes podem ser colocados em conformidade.","Segurança, privacidade e conformidade"
73,74,Sua rede contém uma floresta do Active Directory. A floresta contém 5.000 contas de usuários. Sua empresa planeja migrar todos os recursos da rede para o Azure e desativar o datacenter local. Você precisa recomendar uma solução para minimizar o impacto nos usuários após a migração planejada. O que você deve recomendar?,Implementar a autenticação multifatorial do Azure (MFA),Sincronizar todas as contas de usuário do Active Directory para o Azure Active Directory (Azure AD),Instruir todos os usuários a alterar sua senha,Criar uma conta de usuário convidado no Azure Active Directory (Azure AD) para cada usuário,,B,"Para migrar para o Azure e desativar o datacenter local, você precisaria criar as 5.000 contas de usuários no Azure Active Directory. A maneira mais fácil de fazer isso é sincronizar todas as contas de usuário do Active Directory ao Azure Active Directory (Azure AD). Você pode até sincronizar suas senhas para minimizar ainda mais o impacto nos usuários. A ferramenta que você usaria para sincronizar as contas é o Azure AD Connect. O Azure Active Directory Connect serviços de sincronização (Azure AD Connect sync) é um componente principal do Azure AD Connect. Ele cuida de todas as operações relacionadas à sincronização de dados de identidade entre seu ambiente local e o Azure AD.","Segurança, privacidade e conformidade"
74,75,Qual serviço fornece filtragem de tráfego de rede em várias assinaturas do Azure e redes virtuais?,Azure Firewall,um grupo de segurança de aplicativos,Proteção Azure DDoS,um grupo de segurança de rede (NSG),,A,"Você pode restringir o tráfego a várias redes virtuais em várias assinaturas com um único firewall do Azure. O Azure Firewall é um serviço gerenciado de segurança de rede baseado em nuvem que protege seus recursos da Rede Virtual do Azure. É um firewall totalmente imponente como um serviço com alta disponibilidade incorporada e escalabilidade irrestrita na nuvem. Você pode criar, impor e registrar centralmente políticas de conectividade de aplicativos e rede em assinaturas e redes virtuais. O Azure Firewall usa um endereço IP público estático para seus recursos de rede virtual, permitindo que firewalls externos identifiquem o tráfego originário de sua rede virtual.","Segurança, privacidade e conformidade"
75,76,Qual serviço do Azure você deve usar para armazenar certificados?,Centro de Segurança do Azure,uma conta de armazenamento Azure,Cofre de Chaves Azure,Proteção de informações do Azure,,C,"O Azure Key Vault é uma Armazenamento seguro para armazenamento de vários tipos de informações confidenciais, incluindo senhas e certificados. O Azure Key Vault pode ser usado para armazenar e controlar firmemente o acesso a tokens, senhas, certificados, chaves de API e outros segredos. Segredos e chaves são protegidos pelo Azure, usando algoritmos padrão do setor, comprimentoschave e módulos de segurança de hardware (HSMs). Os HSMs utilizados são normas federais de processamento de informações (FIPS) 140-2 Nível 2 validadas. O acesso a um cofre-chave requer autenticação e autorização adequadas antes que um chamador (usuário ou aplicativo) possa ter acesso. A autenticação estabelece a identidade do chamador, enquanto a autorização determina as operações que eles podem realizar.","Segurança, privacidade e conformidade"
76,77,Você tem um grupo de recursos chamado RG1. Você planeja criar redes virtuais e serviços de aplicativos em RG1. Você precisa impedir a criação de máquinas virtuais apenas em RG1. O que você deve usar?,um bloqueio,um papel Azure,uma tag,uma Política Azure,,D,"As políticas do Azure podem ser usadas para definir requisitos para propriedades de recursos durante a implantação e para recursos já existentes. A Política Azure controla propriedades como os tipos ou locais de recursos. A Política Azure é um serviço no Azure que você usa para criar, atribuir e gerenciar políticas. Essas políticas impõem regras e efeitos diferentes sobre seus recursos, para que esses recursos permaneçam em conformidade com seus padrões corporativos e contratos de nível de serviço. Nesta questão, criaríamos uma política do Azure atribuída ao grupo de recursos que nega a criação de máquinas virtuais no grupo de recursos. Você poderia colocar um bloqueio somente leitura no grupo de recursos. No entanto, isso impediria a criação de quaisquer recursos no grupo de recursos, não apenas em máquinas virtuais, portanto, uma Política Azure é uma solução melhor.","Segurança, privacidade e conformidade"
77,78,O que o Azure Information Protection criptografa?,tráfego de rede,documentos e mensagens de e-mail,uma conta de armazenamento Azure,um banco de dados Azure SQL,,B,"O Azure Information Protection pode criptografar documentos e e-mails. O Azure Information Protection é uma solução baseada em nuvem que ajuda uma organização a classificar e, opcionalmente, proteger seus documentos e e-mails aplicando rótulos. As etiquetas podem ser aplicadas automaticamente por administradores que definem regras e condições, manualmente pelos usuários ou uma combinação onde os usuários recebem recomendações. A tecnologia de proteção usa o Azure Rights Management (muitas vezes abreviado para Azure RMS). Essa tecnologia está integrada com outros serviços e aplicativos em nuvem da Microsoft, como o Office 365 e o Azure Active Directory. Essa tecnologia de proteção usa políticas de criptografia, identidade e autorização. Da mesma forma que as etiquetas aplicadas, a proteção aplicada usando o Gerenciamento de Direitos permanece com os documentos e e-mails, independentemente do local — dentro ou fora de sua organização, redes, servidores de arquivos e aplicativos.","Segurança, privacidade e conformidade"
78,79,O que você deve usar para avaliar se o ambiente Azure da sua empresa atende aos requisitos regulatórios,o site do Centro de Conhecimento,na Aba Advisor no portal do Azure,no Gerente de Conformidade do Portal de Confiança de Serviços,na Aba Soluções do portal Azure,,C,"O Compliance Manager no Service Trust Portal é uma ferramenta de avaliação de riscos baseada em fluxo de trabalho que ajuda você a rastrear, atribuir e verificar as atividades de conformidade regulatória da sua organização relacionadas aos serviços da Microsoft Cloud, como Microsoft 365, Dynamics 365 e Azure.","Segurança, privacidade e conformidade"
79,80,"No _Azure Monitor_, você pode ver qual usuário desligou uma máquina virtual específica durante os últimos 14 dias.",Nenhuma mudança é necessária,Hubs de eventos do Azure,Registro de atividades do Azure,Azure Service Health,,C,"Você usaria o Azure Activity Log, não o Azure Monitor para visualizar qual usuário desligou uma máquina virtual específica durante os últimos 14 dias. Os registros de atividades são mantidos por 90 dias. Você pode consultar para qualquer variedade de datas, desde que a data de início não seja mais do que 90 dias no passado. Nesta questão, criaríamos um filtro para exibir operações de desligamento na máquina virtual nos últimos 14 dias.","Segurança, privacidade e conformidade"
80,81,Sua empresa tem uma assinatura do Azure que contém recursos em várias regiões. Uma política da empresa estabelece que os administradores só devem ser autorizados a criar recursos adicionais do Azure em uma região no país onde seu escritório está localizado. Você precisa criar o recurso Azure que deve ser usado para atender ao requisito de política. O que você deve criar?,um bloqueio somente leitura,uma Política Azure,um grupo de gestão,uma reserva,,B,"As políticas do Azure podem ser usadas para definir requisitos para propriedades de recursos durante a implantação e para recursos já existentes. A Política Azure controla propriedades como os tipos ou locais de recursos. A Política Azure é um serviço no Azure que você usa para criar, atribuir e gerenciar políticas. Essas políticas impõem regras e efeitos diferentes sobre seus recursos, para que esses recursos permaneçam em conformidade com seus padrões corporativos e contratos de nível de serviço. A Política Azure atende a essa necessidade avaliando seus recursos para o descumprimento das políticas atribuídas. Todos os dados armazenados pela Política Azure são criptografados em repouso. O Azure Policy oferece várias políticas incorporadas que estão disponíveis por padrão. Nesta questão, usaríamos a política 'Locais Permitidos' para definir os locais onde os recursos podem ser implantados.","Segurança, privacidade e conformidade"
81,82,"A partir da _Azure Cloud Shell_, você pode acompanhar os padrões e regulamentos regulatórios da sua empresa, como a ISO 27001.",Nenhuma mudança é necessária.,o Portal de Parceiros na Nuvem da Microsoft,Gerente de Compliance,o Centro de Confiança,,C,"O Microsoft Compliance Manager (Preview) é uma ferramenta de avaliação de risco baseada em fluxo de trabalho livre que permite rastrear, atribuir e verificar as atividades de conformidade regulatória relacionadas aos serviços de nuvem da Microsoft. O Azure Cloud Shell, por outro lado, é um shell interativo, autenticado e acessível ao navegador para gerenciar recursos do Azure.","Segurança, privacidade e conformidade"
82,83,"A _Declaração de Privacidade dos Serviços Online da Microsoft_ explica quais dados a Microsoft processa, como a Microsoft processa os dados e o propósito de processar os dados.",Nenhuma mudança é necessária,Termos de Serviços Online da Microsoft,Contrato de nível de serviço on-line da Microsoft,Contrato de assinatura on-line para o Microsoft Azure,,A,"A Declaração de Privacidade da Microsoft explica quais dados pessoais a Microsoft processa, como a Microsoft processa os dados e o propósito de processar os dados.","Segurança, privacidade e conformidade"
83,84,Você precisa configurar uma solução Azure que atenda aos seguintes requisitos:  Protege sites de ataques;  Gera relatórios que contêm detalhes de tentativas de ataques. O que você deve incluir na solução?,Azure Firewall,um grupo de segurança de rede (NSG),Proteção de informações do Azure,Proteção DDoS,,D,"DDoS é um tipo de ataque que tenta esgotar os recursos de aplicação. O objetivo é afetar a disponibilidade do aplicativo e sua capacidade de lidar com solicitações legítimas. Os ataques DDoS podem ser direcionados a qualquer ponto final que seja acessível publicamente através da internet. O Azure possui duas ofertas de serviços DDoS que fornecem proteção contra ataques de rede: DDoS Protection Basic e DDoS Protection Standard. A proteção Básica DDoS é integrada à plataforma Azure por padrão e sem custo adicional. Você tem a opção de pagar pelo DDoS Standard. Possui várias vantagens sobre o serviço básico, incluindo registro, alerta e telemetria. DDoS Standard pode gerar relatórios que contenham detalhes de tentativas de ataques conforme necessário nesta questão.","Segurança, privacidade e conformidade"
84,85,Você tenta criar várias instâncias gerenciadas do Microsoft SQL Server em um ambiente do Azure e receber uma mensagem de que você deve aumentar seus limites de assinatura do Azure. O que você deve fazer para aumentar os limites?,Crie um alerta de integridade do serviço,Atualize seu plano de suporte,Modifique uma política do Azure,Crie uma nova solicitação de suporte,,D,"Muitos recursos do Azure têm limites de cotação. O objetivo dos limites de cota é ajudá-lo a controlar os custos do Azure. No entanto, é comum exigir um aumento da cota padrão. Você pode solicitar um aumento do limite de cota abrindo uma solicitação de suporte. Na solicitação de suporte, selecione ‘Limites de serviço e assinatura (cotas)’ para o tipo de problema, selecione sua assinatura e o serviço para o qual deseja aumentar a cota. Para esta pergunta, você selecionaria ‘Instância gerenciada de banco de dados SQL’ como o tipo de cotação..",Preços e suporte do Azure
85,86,Sua empresa tem 10 escritórios. Você planeja gerar vários relatórios de faturamento do portal Azure. Cada relatório conterá a utilização de recursos do Azure de cada escritório. Qual recurso do Azure Resource Manager deve usar antes de gerar os relatórios?,Tags,Modelos,Fechaduras,Políticas,,A,"Você pode usar etiquetas de recursos para 'rotular' recursos do Azure. Tags são elementos metadados ligados aos recursos. As tags consistem em pares de strings de chave/valor. Nesta pergunta, marcaríamos cada recurso com uma etiqueta para identificar cada escritório. Por exemplo: Localização = Office1. Quando todos os recursos do Azure são marcados, você pode gerar relatórios para listar todos os recursos com base no valor da tag. Por exemplo: Todos os recursos utilizados pelo Office1.",Preços e suporte do Azure
86,87,Sua empresa planeja migrar para o Azure. A empresa tem vários departamentos. Todos os recursos do Azure usados por cada departamento serão gerenciados por um administrador de departamento. Quais são as duas técnicas possíveis para segmentar o Azure para os departamentos? Cada resposta correta apresenta uma solução completa.,múltiplas assinaturas,vários diretórios do Azure Active Directory (Azure AD),várias regiões,vários grupos de recursos,,AD,"Uma assinatura do Azure é um contêiner para recursos do Azure. É também um limite para permissões aos recursos e ao faturamento. Você é cobrado mensalmente por todos os recursos em uma assinatura. Um único inquilino do Azure (Azure Active Directory) pode conter várias assinaturas do Azure. Um grupo de recursos é um contêiner que contém recursos relacionados para uma solução Azure. O grupo de recursos pode incluir todos os recursos para a solução, ou apenas os recursos que você deseja gerenciar como um grupo. Para permitir que cada administrador de departamento gerencie os recursos do Azure usados por esse departamento, você precisará criar uma assinatura separada por departamento. Em seguida, você pode atribuir cada administrador do departamento como administrador para a assinatura para permitir que eles gerenciem todos os recursos nessa assinatura.",Preços e suporte do Azure
87,88,"Se a Microsoft planeja acabar com o suporte a um serviço Azure que NÃO tenha um serviço sucessor, a Microsoft fornecerá notificação pelo menos _12 meses_ antes",Nenhuma mudança é necessária.,6 meses,90 dias,30 dias,,A,"A Política de Ciclo de Vida Moderna abrange produtos e serviços que são atendidos e suportados continuamente. Para produtos regidos pela Política de Ciclo de Vida Moderno, a Microsoft fornecerá uma notificação mínima de 12 meses antes do fim do suporte se nenhum produto ou serviço sucessor for oferecido — excluindo serviços gratuitos ou versões de visualização.",Preços e suporte do Azure
88,89,Sua empresa tem uma assinatura do Azure que contém os seguintes recursos não utilizados:  20 contas de usuário no Azure Active Directory (Azure AD)  Cinco grupos em Azure AD  10 endereços IP públicos  10 interfaces de rede Você precisa reduzir os custos do Azure para a empresa. Solução: Você remove as interfaces de rede não usadas. Isso atende ao objetivo?,Sim,Não,,,,B,"Você não é cobrado por interfaces de rede não usadas. Portanto, a exclusão de interfaces de rede não utilizadas não reduzirá os custos do Azure para a empresa.",Preços e suporte do Azure
89,90,Sua empresa tem uma assinatura do Azure que contém os seguintes recursos não utilizados:  20 contas de usuário no Azure Active Directory (Azure AD)  Cinco grupos em Azure AD  10 endereços IP públicos  10 interfaces de rede Você precisa reduzir os custos do Azure para a empresa. Solução: Você remove os endereços IP públicos não usados. Isso atende ao objetivo?,Sim,Não,,,,A,"Você é cobrado por endereços IP públicos, portanto, a exclusão de endereços IP públicos não usados reduzirá os custos do Azure.",Preços e suporte do Azure
90,91,Sua empresa tem uma assinatura do Azure que contém os seguintes recursos não utilizados:  20 contas de usuário no Azure Active Directory (Azure AD)  Cinco grupos em Azure AD  10 endereços IP públicos  10 interfaces de rede Você precisa reduzir os custos do Azure para a empresa. Solução: Você remove as contas de usuário não usadas. Isso atende ao objetivo?,Sim,Não,,,,B,"Você não é cobrado por contas de usuário, portanto, a exclusão de contas de usuários não usadas não reduzirá os custos do Azure para a empresa.",Preços e suporte do Azure
91,92,"Uma solução de plano de suporte que lhe dá informações de boas práticas, status de integridade e notificações, e acesso 24 horas por dia, 7 dias por semana, a informações de cobrança ao menor custo possível, é um plano de suporte _padrão_.",Nenhuma mudança é necessária,Developer,Basic,Premier,,C,"Um plano básico de suporte fornece:  Acesso 24x7 ao suporte de faturamento e assinatura, autoajuda on-line, documentação, whitepapers e fóruns de suporte;  Melhores práticas: Acesso ao conjunto completo de recomendações do Azure Advisor;  Estado de Integridade e Notificações: Acesso a Dashboard de Integridade de Serviço personalizado & API integridade. ",Preços e suporte do Azure
92,93,Em quais planos de suporte do Azure você pode abrir uma nova solicitação de suporte?,Somente Premier e Professional Direct,"Premier, Professional Direct e Standard apenas","Premier, Professional Direct, Standard e Developer apenas","Premier, Professional Direct, Standard, Developer e Basic",,C,"Você pode abrir casos de suporte nos seguintes planos: Somente Premier, Professional Direct, Standard e Developer. Você não pode abrir casos de suporte no plano básico de suporte.",Preços e suporte do Azure
93,94,Você pode criar uma solicitação de suporte do Azure a partir de _support.microsoft.com_.,Nenhuma mudança é necessária.,o portal Azure,o Centro de Conhecimento,o centro administrativo de Segurança & Conformidade,,B,Você pode criar uma solicitação de suporte do Azure a partir da lâmina de ajuda e suporte no portal Azure ou no menu de contexto de um recurso do Azure na seção Suporte + Solução de problemas.,Preços e suporte do Azure
94,95,Sua empresa tem uma assinatura do Azure que contém os seguintes recursos não utilizados:  20 contas de usuários no Azure Active Directory (Azure AD)  Cinco grupos no Azure AD  10 endereços IP públicos  10 interfaces de rede Você precisa reduzir os custos do Azure para a empresa. Solução: Você remove os grupos não usados. Isso atende ao objetivo?,Sim,Não,,,,B,"Você não é cobrado por grupos de diretório ativos do Azure, portanto, a exclusão de grupos não usados não reduzirá seus custos do Azure.",Preços e suporte do Azure
95,96,O plano de suporte _Azure Standard_ é a opção de menor custo para receber acesso 24x7 a engenheiros de suporte por telefone,Nenhuma mudança é necessária,Developer,Basic,Professional Direct,,A,"O plano básico de suporte é gratuito, por isso é o mais barato. O plano de suporte ao Desenvolvedor é o plano de suporte pago mais barato. A ordem dos planos de suporte em termos de custo que vão do mais barato ao mais caro é: Básico, Desenvolvedor, Padrão, Professional Direct, Premier. No entanto, o acesso 24/7 ao suporte técnico por e-mail e telefone só está disponível para planos Standard, Professional Direct, Premier.",Preços e suporte do Azure
96,97,Todos os serviços do Azure que estão em pré-visualização pública _são fornecidos sem qualquer documentação_.,Nenhuma mudança é necessária,apenas configurável de Azure CLI,excluídos dos Contratos de Nível de Serviço,apenas configurável a partir do portal Azure,,C,"Os recursos de visualização são disponibilizados para você com a condição de que você aceite termos adicionais que complementem os termos regulares do Azure. Os termos suplementares afirmam: ""AS PRÉ-VISUALIZAÇÕES SÃO FORNECIDAS ""AS-IS"", ""COM TODAS AS FALHAS"" E ""CONFORME DISPONÍVEL"", E SÃO EXCLUÍDAS DOS CONTRATOS DE NÍVEL DE SERVIÇO E GARANTIA LIMITADA.”",Preços e suporte do Azure
97,98,O que é garantido em um Contrato de Nível de Serviço Azure (SLA) para máquinas virtuais?,tempo de atividade,disponibilidade de recursos,largura de banda,desempenho,,A,"O SLA para máquinas virtuais garante o ""tempo de atividade"". A quantidade de tempo de atividade garantida depende de fatores como se as VMs estão em um conjunto de disponibilidade ou zona de disponibilidade se houver mais de uma VM, a distribuição das VMs se houver mais de uma ou o tipo de disco se for uma única VM. O SLA para máquinas virtuais afirma:  Para todas as Máquinas Virtuais que possuem duas ou mais instâncias implantadas em duas ou mais Zonas de Disponibilidade na mesma região do Azure, garantimos que você terá conectividade de máquina virtual para pelo menos uma instância pelo menos 99,99% do tempo.  Para todas as Máquinas Virtuais que possuem duas ou mais instâncias implantadas no mesmo Conjunto de Disponibilidade ou no mesmo Grupo de Host Dedicado, garantimos que você terá conectividade de máquina virtual em pelo menos uma instância pelo menos 99,95% do tempo.  Para qualquer máquina virtual de instância única que use SSD Premium ou disco Ultra para todos os discos do sistema operacional e discos de dados, garantimos que você terá conectividade de máquina virtual de pelo menos 99,9%.",Preços e suporte do Azure
98,99,Um serviço Azure está disponível para todos os clientes do Azure quando está em _pré-visualização pública_.,Nenhuma mudança é necessária.,pré-visualização privada,desenvolvimento,uma assinatura do Enterprise Agreement (EA),,A,"O Public Preview significa que o serviço está disponível na versão beta e pode ser testado por qualquer pessoa com uma assinatura do Azure. Serviços em pré-visualização pública são frequentemente oferecidos a um preço de desconto. As visualizações públicas são excluídas dos SLAs e, em alguns casos, nenhum suporte é oferecido.",Preços e suporte do Azure
99,100,Sua empresa planeja comprar uma assinatura do Azure. A política de suporte da empresa afirma que o ambiente Azure deve fornecer uma opção para acessar os profissionais de suporte por telefone ou e-mail. Você precisa recomendar qual plano de suporte atende ao requisito da política de suporte. Solução: Recomende um plano de suporte básico. Isso atende ao objetivo?,Sim,Não,,,,B,"O plano básico de suporte não tem suporte técnico. O acesso aos profissionais de Suporte por e-mail ou telefone está disponível nos seguintes planos de suporte: Premier, Professional Direct e standard.",Preços e suporte do Azure
100,101,Sua empresa planeja comprar uma assinatura do Azure. A política de suporte da empresa afirma que o ambiente Azure deve fornecer uma opção para acessar o suporte técnico por telefone ou e-mail. Você precisa recomendar qual plano de suporte atende ao requisito da política de suporte. Solução: Recomende um plano de suporte padrão. Isso atende ao objetivo?,Sim,Não,,,,A,"Os planos de suporte Standard, Professional Direct e Premier têm suporte técnico por e-mail e telefone.",Preços e suporte do Azure
101,102,Sua empresa planeja comprar uma assinatura do Azure. A política de suporte da empresa afirma que o ambiente Azure deve fornecer uma opção para acessar o suporte técnico por telefone ou e-mail. Você precisa recomendar qual plano de suporte atende ao requisito da política de suporte. Solução: Recomende um plano de suporte Premier. Isso atende ao objetivo?,Sim,Não,,,,A,"Os planos de suporte Standard, Professional Direct e Premier têm suporte técnico por e-mail e telefone.",Preços e suporte do Azure
102,103,Sua empresa planeja solicitar uma revisão arquitetônica de um ambiente Azure da Microsoft. A empresa atualmente tem um plano básico de suporte. Você precisa recomendar um novo plano de suporte para a empresa. A solução deve minimizar custos. Qual plano de suporte você deve recomendar?,Premier,Developer,Professional Direct,Standard,,A,"O plano de suporte Premier fornece suporte específico ao cliente, como revisões de design, ajuste de desempenho, assistência de configuração e implementação fornecida por especialistas técnicos do Microsoft Azure.",Preços e suporte do Azure
103,104,O que é necessário para usar o Azure Cost Management?,uma assinatura Dev/Teste,Garantia de software,um Acordo Empresarial (EA),uma assinatura pay-as-you-go,,C,"Os clientes do Azure com um Acordo Empresarial Azure (EA), O Acordo de Clientes da Microsoft (MCA) ou o Microsoft Partner Agreement (MPA) podem usar o Azure Cost Management. A gestão de custos é o processo de planejamento e controle efetivo dos custos envolvidos em seu negócio. As tarefas de gerenciamento de custos são normalmente executadas por equipes de finanças, gerenciamento e aplicativos. Azure Cost Management + Billing ajuda as organizações a planejar com custo em mente. Também ajuda a analisar os custos de forma eficaz e tomar medidas para otimizar os gastos em nuvem.",Preços e suporte do Azure
104,105,Sua conta de avaliação do Azure expirou na semana passada. Agora você não pode criar contas de usuário adicionais do _Azure Active Directory (Azure AD)_.,Nenhuma mudança é necessária,iniciar uma máquina virtual Azure existente,acesse seus dados armazenados no Azure,acessar o portal do Azure,,B,"Uma VM interrompida (desalocada) está offline e não é montada em um servidor host do Azure. monta a VM antes de Iniciar uma VM em um servidor host antes da VM ser iniciada. Assim que a VM for montada, ela se tornará um item que provoca despesa. Por esta razão, você não consegue iniciar uma VM depois que uma avaliação expirou.",Preços e suporte do Azure
105,106,Sua empresa planeja comprar uma assinatura do Azure. A política de suporte da empresa afirma que o ambiente Azure deve fornecer uma opção para acessar o suporte por telefone ou e-mail. Você precisa recomendar qual plano de suporte atende ao requisito da política de suporte. Solução: Recomende um plano de suporte direto profissional. Isso atende ao objetivo?,Sim,Não,,,,A,"O plano básico de suporte não tem nenhum suporte técnicos. O plano de suporte ao Desenvolvedor tem apenas suporte técnico para via e-mail. Os planos de suporte Standard, Professional Direct e Premier têm suporte técnico por e-mail e telefone.",Preços e suporte do Azure
106,107,Sua empresa tem 10 departamentos. A empresa planeja implementar um ambiente Azure. Você precisa garantir que cada departamento possa usar uma opção de pagamento diferente para os serviços do Azure que consome. O que você deve criar para cada departamento?,uma reserva,uma assinatura,um grupo de recursos,uma instância de contêiner,,B,"Existem diferentes opções de pagamento no Azure, incluindo contas pay-as-you-go (PAYG), Enterprise Agreement (EA) e Microsoft Customer Agreement (MCA). Seus custos do Azure são ""por assinatura"". Você é cobrado mensalmente por todos os recursos em uma assinatura. Portanto, para usar diferentes opções de pagamento por departamento, você precisará criar uma assinatura separada por departamento. Você pode criar várias assinaturas em um único Locatário do Azure AD",Preços e suporte do Azure
107,108,Qual declaração descreve com precisão a Política moderna do ciclo de vida para serviços do Azure?,Microsoft oferece suporte mainstream para um serviço por cinco anos,Microsoft fornece um aviso mínimo de 12 meses antes de encerrar o suporte para um serviço.,"Depois que um serviço é disponibilizado, geralmente a Microsoft fornece suporte para o serviço por um mínimo de quatro anos.","Quando um serviço é aposentado, você pode comprar suporte estendido para o serviço por até cinco anos.",,B,"Para produtos regidos pela Política de Ciclo de Vida Moderno, a Microsoft fornecerá uma notificação mínima de 12 meses antes do fim do suporte se nenhum produto ou serviço sucessor for oferecido — excluindo serviços gratuitos ou versões de visualização.",Preços e suporte do Azure
108,109,Esta pergunta requer que você avalie o texto sublinhado para determinar se ele está correto. Você pode usar as _recomendações do Advisor_ no Azure para enviar alertas de e-mail quando o custo do período de faturamento atual para uma assinatura do Azure exceder um limite especificado,Nenhuma mudança é necessária.,Controle de acesso (IAM),Alertas orçamentários,conformidade,,C,"Os alertas orçamentários notificam quando os gastos, com base no uso ou custo, atingem ou excedem o valor definido na condição de alerta do orçamento. Os orçamentos de Gestão de Custos são criados usando o portal Azure ou a API de Consumo do Azure.",Preços e suporte do Azure
